country,year,n_forecasts,mean_pct_error,median_pct_error,iqr_pct_error,mae,bias
Ethiopia,2020,12,-2.22,0.0,40.0,1250000.0,-416666.67
Ethiopia,2021,12,-12.02,-14.28,28.57,1562500.0,-1145833.33
Ethiopia,2022,12,4.4,0.0,0.0,833333.33,208333.33
Ethiopia,2023,12,-13.28,0.0,31.13,417229166.62,-416479166.62
Ethiopia,2024,11,-9.57,-5.71,20.12,1454545.45,-1454545.45
Haiti,2020,12,-14.76,0.0,14.28,158333.33,-158333.33
Haiti,2021,12,-19.05,0.0,57.14,333333.33,-333333.33
Haiti,2022,12,-9.52,0.0,0.0,166666.67,-166666.67
Haiti,2023,12,13.1,0.0,0.0,229166.67,229166.67
Haiti,2024,11,-12.12,-22.22,22.22,272727.27,-272727.27
Mali,2020,12,-33.65,-28.57,60.0,237500.0,-237500.0
Mali,2021,12,0.0,0.0,0.0,0.0,0.0
Mali,2022,12,-19.52,0.0,57.14,241666.67,-241666.67
Mali,2023,12,11.67,10.0,40.0,225000.0,150000.0
Mali,2024,11,16.02,0.0,21.43,79545.45,79545.45
Niger,2020,12,-23.73,0.0,57.14,454166.67,-454166.67
Niger,2021,12,35.52,0.0,0.0,204166.67,37500.0
Niger,2022,12,-8.89,0.0,0.0,333333.33,-333333.33
Niger,2023,12,-0.15,0.0,7.34,270833.33,-62500.0
Niger,2024,11,-9.63,0.0,18.8,272727.27,-272727.27
Somalia,2020,12,1.91,-26.66,81.9,1500000.0,-500000.0
Somalia,2021,12,14.6,0.0,0.0,500000.0,166666.67
Somalia,2022,12,-20.0,-20.0,40.0,1250000.0,-1250000.0
Somalia,2023,12,16.75,13.64,23.36,1166666.67,750000.0
Somalia,2024,11,-4.26,0.0,13.33,454545.45,-181818.18
Sudan,2020,12,-6.67,0.0,0.0,416666.67,-416666.67
Sudan,2021,12,-3.33,0.0,0.0,208333.33,-208333.33
Sudan,2022,12,0.0,0.0,0.0,0.0,0.0
Sudan,2023,12,-17.25,-15.79,22.19,1875000.0,-1875000.0
Sudan,2024,11,-25.56,-27.59,10.92,4000000.0,-4000000.0
